"","CAD CDW ID","CAD Event Number","General Offense Number","Event Clearance Code","Event Clearance Description","Event Clearance SubGroup","Event Clearance Group","Event Clearance Date","Hundred Block Location","District/Sector","Zone/Beat","Census Tract","Longitude","Latitude","Incident Location","Initial Type Description","Initial Type Subgroup","Initial Type Group","At Scene Time","dist_mgh"
"1","16900",4.94077901534844e-314,9.93194505076882e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","07/19/2010 05:04:00 AM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"2","16943",4.94077901633657e-314,9.93194506065013e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","07/19/2010 05:02:00 AM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4001",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"3","18348",4.94078014181811e-314,9.93195631546554e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","07/20/2010 10:08:00 PM","14XX BLOCK OF NE 40TH ST","U","U2","5302.1008",-122.312716816,47.655346936,"(47.655346936, -122.312716816)","","","","",0.00473989460283999
"4","18444",4.94078011810296e-314,9.93195607831403e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","07/20/2010 09:21:00 PM","15XX BLOCK OF NE PACIFIC ST","U","U2","5302.3003",-122.311532211,47.652527343,"(47.652527343, -122.311532211)","","","","",0.00434418227128654
"5","18746",4.94078028114463e-314,9.93195770873066e-315,"130","PROPERTY DESTRUCTION","PROPERTY DAMAGE","PROPERTY DAMAGE","07/21/2010 05:14:00 AM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.3009",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"6","18868",4.94078045505573e-314,9.93195944784174e-315,"330","CASUALTY (NON CRIMINAL/TRAFFIC) - MAN DOWN, SICK PERSONS, INJURED, DOA)","CASUALTIES","PERSON DOWN/INJURY","07/21/2010 12:06:00 PM","41XX BLOCK OF 15TH AVE NE","U","U2","5301.4000",-122.312090753,47.657560465,"(47.657560465, -122.312090753)","","","","",0.00481701342756495
"7","22540",4.94078307508585e-314,9.93198564814294e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","07/25/2010 09:21:00 AM","41XX BLOCK OF 15TH AVE NE","U","U2","5301.4000",-122.312090753,47.657560465,"(47.657560465, -122.312090753)","","","","",0.00481701342756495
"8","24393",4.94078189328083e-314,9.93197383009269e-315,"63","THEFT - CAR PROWL","CAR PROWL","CAR PROWL","07/23/2010 03:28:00 PM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1007",-122.313846364,47.65599383,"(47.65599383, -122.313846364)","","","","",0.00593681374757802
"9","24593",4.94078518622836e-314,9.93200675956798e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","07/28/2010 04:46:00 PM","38XX BLOCK OF UNIVERSITY WAY NE","U","U2","5302.2002",-122.313310378,47.654376583,"(47.654376583, -122.313310378)","","","","",0.00536431037308315
"10","25315",4.94078520549692e-314,9.93200695225358e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","07/28/2010 03:54:00 PM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.3003",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"11","25553",4.9407853092507e-314,9.93200798979144e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","07/28/2010 06:08:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4001",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"12","25681",4.94078566942456e-314,9.93201159153e-315,"200","ALARMS - COMMERCIAL BURGLARY (FALSE)","BURGLARY ALARMS (FALSE)","FALSE ALARMS","07/29/2010 08:01:00 AM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"13","26238",4.94078571685486e-314,9.93201206583302e-315,"245","DISTURBANCE, OTHER","DISTURBANCES","DISTURBANCES","07/29/2010 09:20:00 AM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.2000",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"14","28045",4.94078705478463e-314,9.93202544513071e-315,"350","HAZARDS","HAZARDS","HAZARDS","07/31/2010 07:30:00 AM","42XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.31205179,47.659041293,"(47.659041293, -122.31205179)","","","","",0.00570516192478249
"15","29201",4.94078784825406e-314,9.93203337982498e-315,"170","RECKLESS ENDANGERMENT, LITTERING, PARKS CODE VIOLATIONS","MISCELLANEOUS MISDEMEANORS","MISCELLANEOUS MISDEMEANORS","08/01/2010 01:02:00 PM","42XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.31205179,47.659041293,"(47.659041293, -122.31205179)","","","","",0.00570516192478249
"16","30011",4.94078849893851e-314,9.93203988666954e-315,"470","PARKING VIOLATION (EXCEPT ABANDONED VEHICLES)","PARKING VIOLATIONS","TRAFFIC RELATED CALLS","08/02/2010 03:41:00 PM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.2000",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"17","30184",4.94078856761364e-314,9.93204057342078e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","08/02/2010 07:21:00 PM","19XX BLOCK OF NE PACIFIC PL","U","U2","5302.3000",-122.305716379,47.650626898,"(47.650626898, -122.305716379)","","","","",0.00496120354148133
"18","31803",4.94078984082081e-314,9.93205330549248e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","08/04/2010 12:28:00 PM","17XX BLOCK OF NE PACIFIC ST","U","U2","5302.3004",-122.309118314,47.65130139,"(47.65130139, -122.309118314)","","","","",0.00390411650167963
"19","32480",4.94079014961184e-314,9.93205639340276e-315,"430","ACCIDENT INVESTIGATION","TRAFFIC RELATED CALLS","ACCIDENT INVESTIGATION","08/04/2010 09:26:00 PM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1008",-122.312702352,47.65598152,"(47.65598152, -122.312702352)","","","","",0.00480882256632042
"20","34863",4.94079207350346e-314,9.93207563231901e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","08/07/2010 03:46:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"21","35329",4.94079220146646e-314,9.93207691194903e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","08/07/2010 08:48:00 PM","42XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.31205179,47.659041293,"(47.659041293, -122.31205179)","","","","",0.00570516192478249
"22","36216",4.94079296084536e-314,9.93208450573801e-315,"282","SUSPICIOUS CIRCUMSTANCES - BUILDING (OPEN DOOR, ETC.)","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","08/09/2010 02:55:00 AM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"23","40577",4.94079615053317e-314,9.93211640261611e-315,"460","TRAFFIC (MOVING) VIOLATION","TRAFFIC RELATED CALLS","TRAFFIC RELATED CALLS","08/13/2010 11:48:00 PM","42XX BLOCK OF 15TH AVE NE","U","U2","5302.3003",-122.31205179,47.659041293,"(47.659041293, -122.31205179)","","","","",0.00570516192478249
"24","41319",4.94079657938215e-314,9.93212069110591e-315,"73","AUTO RECOVERY","AUTO RECOVERIES","AUTO THEFTS","08/14/2010 07:09:00 PM","38XX BLOCK OF 15TH AVE NE","U","U2","5302.2001",-122.312178882,47.654136805,"(47.654136805, -122.312178882)","","","","",0.00428765986640143
"25","43322",4.94079800130308e-314,9.9321349103152e-315,"200","ALARMS - COMMERCIAL BURGLARY (FALSE)","BURGLARY ALARMS (FALSE)","FALSE ALARMS","08/16/2010 11:16:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4001",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"26","44551",4.94079890840761e-314,9.93214398136046e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","08/18/2010 01:25:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.3009",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"27","45520",4.94079962727312e-314,9.9321511700156e-315,"372","PROPERTY - FOUND (FOLLOW UP TO SPD CASE)","PROPERTY - MISSING, FOUND","PROPERTY - MISSING, FOUND","08/19/2010 04:00:00 PM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1007",-122.313846364,47.65599383,"(47.65599383, -122.313846364)","","","","",0.00593681374757802
"28","47323",4.94080095976817e-314,9.93216449496607e-315,"65","THEFT - MISCELLANEOUS","THEFT","OTHER PROPERTY","08/21/2010 01:23:00 PM","38XX BLOCK OF MONTLAKE BLVD NE","U","U2","5302.3000",-122.302931725,47.653002027,"(47.653002027, -122.302931725)","","","","",0.00544986159295662
"29","48753",4.94080207783872e-314,9.93217567567164e-315,"245","DISTURBANCE, OTHER","DISTURBANCES","DISTURBANCES","08/23/2010 02:42:00 PM","XX BLOCK OF NE CAMPUS PKY","U","U2","5302.1007",-122.313846364,47.65599383,"(47.65599383, -122.313846364)","","","","",0.00593681374757802
"30","49137",4.94080237279591e-314,9.93217862524354e-315,"62","BICYCLE THEFT","THEFT","BIKE","08/23/2010 10:45:00 PM","41XX BLOCK OF UNIVERSITY WAY NE","U","U2","5301.4000",-122.313226588,47.657574535,"(47.657574535, -122.313226588)","","","","",0.00582127925941428
"31","49492",4.94080255312988e-314,9.93218042858315e-315,"280","SUSPICIOUS PERSON","SUSPICIOUS CIRCUMSTANCES","SUSPICIOUS CIRCUMSTANCES","08/24/2010 09:02:00 AM","14XX BLOCK OF NE 42ND ST","U","U2","5302.3003",-122.312639209,47.658308155,"(47.658308155, -122.312639209)","","","","",0.00568655979514155
